Age,Workclass,fnlwgt,Education,education-num,Marital-status,Marital-Status Index,Occupation,relationship,race,sex,captial gain,capital loss,hours per week,Native-country,Salary range,Salary
39, State-gov,77516, Bachelors,13, Never-married,1, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50K,46696
50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse,2, Exec-managerial, Husband, White, Male,0,0,13, United-States, <=50K,37205
38, Private,215646, HS-grad,9, Divorced,3, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K,48877
53, Private,234721, 11th,7, Married-civ-spouse,2, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K,49078
28, Private,338409, Bachelors,13, Married-civ-spouse,2, Prof-specialty, Wife, Black, Female,0,0,40, Cuba, <=50K,32649
37, Private,284582, Masters,14, Married-civ-spouse,2, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K,24587
49, Private,160187, 9th,5, Married-spouse-absent,4, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica, <=50K,39890
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse,2, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K,259991
31, Private,45781, Masters,14, Never-married,1, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States, >50K,163820
42, Private,159449, Bachelors,13, Married-civ-spouse,2, Exec-managerial, Husband, White, Male,5178,0,40, United-States, >50K,136061
37, Private,280464, Some-college,10, Married-civ-spouse,2, Exec-managerial, Husband, Black, Male,0,0,80, United-States, >50K,172904
30, State-gov,141297, Bachelors,13, Married-civ-spouse,2, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K,186016
23, Private,122272, Bachelors,13, Never-married,1, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K,43738
32, Private,205019, Assoc-acdm,12, Never-married,1, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K,13209
40, Private,121772, Assoc-voc,11, Married-civ-spouse,2, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?, >50K,66237
34, Private,245487, 7th-8th,4, Married-civ-spouse,2, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K,10700
25, Self-emp-not-inc,176756, HS-grad,9, Never-married,1, Farming-fishing, Own-child, White, Male,0,0,35, United-States, <=50K,21038
32, Private,186824, HS-grad,9, Never-married,1, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K,25361
38, Private,28887, 11th,7, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,50, United-States, <=50K,36964
43, Self-emp-not-inc,292175, Masters,14, Divorced,3, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, >50K,181270
40, Private,193524, Doctorate,16, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K,294768
54, Private,302146, HS-grad,9, Separated,5, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K,43030
35, Federal-gov,76845, 9th,5, Married-civ-spouse,2, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K,27723
43, Private,117037, 11th,7, Married-civ-spouse,2, Transport-moving, Husband, White, Male,0,2042,40, United-States, <=50K,46761
59, Private,109015, HS-grad,9, Divorced,3, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K,39788
56, Local-gov,216851, Bachelors,13, Married-civ-spouse,2, Tech-support, Husband, White, Male,0,0,40, United-States, >50K,342431
19, Private,168294, HS-grad,9, Never-married,1, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K,10916
54, ?,180211, Some-college,10, Married-civ-spouse,2, ?, Husband, Asian-Pac-Islander, Male,0,0,60, South, >50K,337207
39, Private,367260, HS-grad,9, Divorced,3, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States, <=50K,38725
49, Private,193366, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,44571
23, Local-gov,190709, Assoc-acdm,12, Never-married,1, Protective-serv, Not-in-family, White, Male,0,0,52, United-States, <=50K,34753
20, Private,266015, Some-college,10, Never-married,1, Sales, Own-child, Black, Male,0,0,44, United-States, <=50K,27221
45, Private,386940, Bachelors,13, Divorced,3, Exec-managerial, Own-child, White, Male,0,1408,40, United-States, <=50K,26281
30, Federal-gov,59951, Some-college,10, Married-civ-spouse,2, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K,13518
22, State-gov,311512, Some-college,10, Married-civ-spouse,2, Other-service, Husband, Black, Male,0,0,15, United-States, <=50K,49331
48, Private,242406, 11th,7, Never-married,1, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K,39248
21, Private,197200, Some-college,10, Never-married,1, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K,49587
19, Private,544091, HS-grad,9, Married-AF-spouse,6, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K,40095
31, Private,84154, Some-college,10, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,38, ?, >50K,216789
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K,28450
31, Private,507875, 9th,5, Married-civ-spouse,2, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, <=50K,32740
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K,24011
24, Private,172987, Bachelors,13, Married-civ-spouse,2, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K,27374
49, Private,94638, HS-grad,9, Separated,5, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K,15469
